RunNum  Good_i3  Good_it  LiveTime(s) ActiveStrings   ActiveDoms     ActiveInIce        OutDir                                                  Comment(s)
         (1=good 0=bad)  
127951     1        1        28766.34           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0520/Run00127951/    
127952     1        1        28812.44           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0521/Run00127952/    
127953     1        1        28807.67           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0521/Run00127953/    
127954     1        1        28806.88           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0521/Run00127954/    
127955     1        1        28763.89           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0522/Run00127955/    
127956     1        1        28807.26           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0522/Run00127956/    
127957     1        1        28808.98           86          5392         5049          /data/exp/IceCube/2016/filtered/level2pass2a/0522/Run00127957/    
127958     1        1        28805.74           86          5392         5049          /data/exp/IceCube/2016/filtered/level2pass2a/0523/Run00127958/    
127959     1        1        28745.16           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0523/Run00127959/    
127960     1        1        28804.17           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0523/Run00127960/    
127961     1        1        28805.62           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0524/Run00127961/    
127962     1        1        28777.13           86          5392         5049          /data/exp/IceCube/2016/filtered/level2pass2a/0524/Run00127962/    
127963     1        1        28760.28           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0524/Run00127963/    
127964     1        1        28813.38           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0525/Run00127964/    
127965     1        1        1360.41           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0525/Run00127965/    
127966     1        1        28747.08           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0525/Run00127966/    
127967     1        1        28810.73           86          5392         5049          /data/exp/IceCube/2016/filtered/level2pass2a/0525/Run00127967/    
127968     1        1        28802.65           86          5392         5049          /data/exp/IceCube/2016/filtered/level2pass2a/0526/Run00127968/    
127969     1        1        28807.45           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0526/Run00127969/    
127970     1        1        28772.26           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0526/Run00127970/    
127971     1        1        28808.35           86          5392         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0527/Run00127971/    
127972     1        1        28805.54           86          5392         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0527/Run00127972/    
127973     1        1        28807.32           86          5392         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0527/Run00127973/    
127974     1        1        28768.28           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0528/Run00127974/    
127975     1        1        28811.34           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0528/Run00127975/    
127976     1        1        16210.63           86          5392         5049          /data/exp/IceCube/2016/filtered/level2pass2a/0528/Run00127976/    
127977     1        1        602.79           85          5337         4994          /data/exp/IceCube/2016/filtered/level2pass2a/0529/Run00127977/    
127978     1        1        28765.18           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0529/Run00127978/    
127979     1        1        28807.23           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0529/Run00127979/    
127980     1        1        28805.62           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0529/Run00127980/    
127981     1        1        28807.12           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0530/Run00127981/    
127982     1        1        28761.69           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0530/Run00127982/    
127983     1        1        28807.02           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0530/Run00127983/    
127984     1        1        28805.51           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0531/Run00127984/    
127985     1        1        28807.11           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0531/Run00127985/    
127986     1        1        28762.18           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0531/Run00127986/    
127987     1        1        23765.31           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0601/Run00127987/    
127988     1        1        28763.12           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0601/Run00127988/    
127989     1        1        3192.89           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0601/Run00127989/    
127990     1        1        729.97           85          5333         4990          /data/exp/IceCube/2016/filtered/level2pass2a/0601/Run00127990/    
127991     1        1        28743.82           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0601/Run00127991/    
127992     1        1        28806.52           86          5392         5049          /data/exp/IceCube/2016/filtered/level2pass2a/0602/Run00127992/    
127993     1        1        28804.08           86          5392         5049          /data/exp/IceCube/2016/filtered/level2pass2a/0602/Run00127993/    
127994     1        1        28807.7           86          5392         5049          /data/exp/IceCube/2016/filtered/level2pass2a/0602/Run00127994/    
127995     1        1        28764.49           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0603/Run00127995/    
127996     1        1        28804.02           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0603/Run00127996/    
127997     1        1        28805.35           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0603/Run00127997/    
127998     1        1        28807.38           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0604/Run00127998/    
127999     1        1        28763.43           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0604/Run00127999/    
128000     1        1        28810.93           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0604/Run00128000/    
128001     1        1        28809.46           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0605/Run00128001/    
128002     1        1        28807.92           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0605/Run00128002/    
128003     1        1        17725.41           86          5393         5050          /data/exp/IceCube/2016/filtered/level2pass2a/0605/Run00128003/    
