RunNum  Good_i3  Good_it  LiveTime(s) ActiveStrings   ActiveDoms     ActiveInIce        OutDir                                                  Comment(s)
         (1=good 0=bad)  
118175     1        1        19453.8           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0513/Run00118175/    
118176     1        1        999.12           71          4453         4174          /data/exp/IceCube/2011/filtered/level2pass2a/0513/Run00118176/    
118177     1        1        28891.06           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0513/Run00118177/    
118178     1        1        28882.74           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0513/Run00118178/    
118179     1        1        29000.28           86          5382         5039          /data/exp/IceCube/2011/filtered/level2pass2a/0514/Run00118179/    
118180     1        1        28884.22           86          5382         5039          /data/exp/IceCube/2011/filtered/level2pass2a/0514/Run00118180/    
118181     1        1        28999.55           86          5382         5039          /data/exp/IceCube/2011/filtered/level2pass2a/0514/Run00118181/    
118182     1        1        8588.31           86          5382         5039          /data/exp/IceCube/2011/filtered/level2pass2a/0515/Run00118182/    
118186     1        1        28886.41           86          5382         5039          /data/exp/IceCube/2011/filtered/level2pass2a/0515/Run00118186/    
118187     1        1        28886.08           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0516/Run00118187/    
118188     1        1        29001.83           86          5385         5042          /data/exp/IceCube/2011/filtered/level2pass2a/0516/Run00118188/    
118189     1        1        3045.71           86          5382         5039          /data/exp/IceCube/2011/filtered/level2pass2a/0516/Run00118189/    
118190     1        1        28887.84           86          5385         5042          /data/exp/IceCube/2011/filtered/level2pass2a/0516/Run00118190/    
118191     1        1        28889.57           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0517/Run00118191/    
118192     1        1        2765.35           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0517/Run00118192/    
118193     1        1        28902.18           86          5385         5042          /data/exp/IceCube/2011/filtered/level2pass2a/0517/Run00118193/    
118194     1        1        28891.19           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0517/Run00118194/    
118197     1        1        28885.66           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0518/Run00118197/    
118198     1        1        28903.86           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0518/Run00118198/    
118200     1        1        15358.32           86          5385         5042          /data/exp/IceCube/2011/filtered/level2pass2a/0518/Run00118200/    
118201     1        1        28884.26           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0519/Run00118201/    
118204     1        1        28885.48           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0519/Run00118204/    
118205     1        1        29003.96           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0520/Run00118205/    
118206     1        1        21956.2           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0520/Run00118206/    
118207     1        1        28879.25           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0520/Run00118207/    
118208     1        1        21267.89           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0520/Run00118208/    
118209     1        1        28800.98           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0521/Run00118209/    
118210     1        1        28801.07           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0521/Run00118210/    
118211     1        1        28800.84           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0521/Run00118211/    
118212     1        1        17360.68           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0522/Run00118212/    
118214     1        1        28877.5           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0522/Run00118214/    
118215     1        1        28881.75           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0522/Run00118215/    
118216     1        1        15046.76           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0523/Run00118216/    
118217     1        1        6032.09           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0523/Run00118217/    
118218     1        1        28903.91           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0523/Run00118218/    
118219     1        1        28996.55           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0523/Run00118219/    
118220     1        1        28884.37           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0524/Run00118220/    
118221     1        1        29004.55           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0524/Run00118221/    
118222     1        1        28884.23           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0524/Run00118222/    
118223     1        1        23322.99           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0525/Run00118223/    
118226     1        1        28885.86           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0525/Run00118226/    
118227     1        1        28891.6           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0525/Run00118227/    
118228     1        1        28884.52           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0526/Run00118228/    
118229     1        1        29006.19           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0526/Run00118229/    
118230     1        1        28888.11           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0527/Run00118230/    
118231     1        1        28889.04           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0527/Run00118231/    
118232     1        1        28921.66           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0527/Run00118232/    
118233     1        1        29003.43           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0528/Run00118233/    
118234     1        1        28777.47           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0528/Run00118234/    
118235     1        1        28800.99           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0528/Run00118235/    
118236     1        1        28800.87           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0529/Run00118236/    
118237     1        1        28801.18           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0529/Run00118237/    
118238     1        1        10397.64           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0529/Run00118238/    
118247     1        1        3854.54           86          5213         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0529/Run00118247/    
118248     1        1        5098.17           86          5232         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0529/Run00118248/    
118249     1        1        28890.81           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0529/Run00118249/    
118251     1        1        28883.88           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0530/Run00118251/    
118252     1        1        28885.34           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0530/Run00118252/    
118253     1        1        23765.24           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0530/Run00118253/    
118254     1        1        29009.13           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0531/Run00118254/    
118264     1        1        5625.91           85          5326         4983          /data/exp/IceCube/2011/filtered/level2pass2a/0531/Run00118264/    
118266     1        1        28886.42           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0531/Run00118266/    
118267     1        1        12861.21           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0601/Run00118267/    
118268     1        1        17553.69           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0601/Run00118268/    
118269     1        1        20252.57           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0601/Run00118269/    
118270     1        1        9714.78           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0601/Run00118270/    
118275     1        1        26866.06           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0601/Run00118275/    
118276     1        1        1776.09           86          5382         5039          /data/exp/IceCube/2011/filtered/level2pass2a/0602/Run00118276/    
118280     1        1        2164.68           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0602/Run00118280/    
118281     1        1        17253.06           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0602/Run00118281/    
118282     1        1        3847.08           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0602/Run00118282/    
118283     1        1        28801.08           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0602/Run00118283/    
118284     1        1        28801.09           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0602/Run00118284/    
118285     1        1        28800.6           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0603/Run00118285/    
118286     1        1        28800.55           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0603/Run00118286/    
118287     1        1        28800.95           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0603/Run00118287/    
118288     1        1        28800.73           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0604/Run00118288/    
118289     1        1        28800.83           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0604/Run00118289/    
118290     1        1        28801.09           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0604/Run00118290/    
118291     1        1        28801.14           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0605/Run00118291/    
118292     1        1        28800.98           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0605/Run00118292/    
118293     1        1        28800.88           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0605/Run00118293/    
118294     1        1        28800.73           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0606/Run00118294/    
118295     1        1        28800.7           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0606/Run00118295/    
118296     1        1        28800.53           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0606/Run00118296/    
118297     1        1        16455.12           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0607/Run00118297/    
118298     1        1        28800.65           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0607/Run00118298/    
118299     1        1        28801.08           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0607/Run00118299/    
118300     1        1        28800.69           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0608/Run00118300/    
118301     1        1        28800.83           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0608/Run00118301/    
118302     1        1        28800.86           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0608/Run00118302/    
118304     1        1        8498.09           85          5324         4981          /data/exp/IceCube/2011/filtered/level2pass2a/0609/Run00118304/    
118305     1        1        10972.24           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0609/Run00118305/    
118306     1        1        7031.7           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0609/Run00118306/    
118307     1        1        29003.83           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0609/Run00118307/    
118308     1        1        28885.9           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0609/Run00118308/    
118309     1        1        29019.19           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0610/Run00118309/    
118311     1        1        28881.36           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0610/Run00118311/    
118312     1        1        21461.74           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0610/Run00118312/    
118313     1        1        28801.17           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0611/Run00118313/    
118314     1        1        28801.06           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0611/Run00118314/    
118315     1        1        28800.68           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0611/Run00118315/    
118316     1        1        28801.2           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0612/Run00118316/    
118317     1        1        28801.01           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0612/Run00118317/    
118318     1        1        3949.95           86          5384         5041          /data/exp/IceCube/2011/filtered/level2pass2a/0612/Run00118318/    
118319     1        1        1284.89           86          5385         5042          /data/exp/IceCube/2011/filtered/level2pass2a/0612/Run00118319/    
118321     1        1        1693.46           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0612/Run00118321/    
118323     1        1        28890.5           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0612/Run00118323/    
118324     1        1        28888.1           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0613/Run00118324/    
118325     1        1        28885.94           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0613/Run00118325/    
118326     1        1        28888.72           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0613/Run00118326/    
118327     1        1        29004.93           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0614/Run00118327/    
118328     1        1        2524.4           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0614/Run00118328/    
118329     1        1        28890.28           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0614/Run00118329/    
118330     1        1        28887.82           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0614/Run00118330/    
118331     1        1        28881.42           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0615/Run00118331/    
118338     1        1        8184.88           85          5323         4980          /data/exp/IceCube/2011/filtered/level2pass2a/0615/Run00118338/    
118339     1        1        3747.78           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0615/Run00118339/    
118340     1        1        29004.16           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0615/Run00118340/    
118341     1        1        28883.39           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0616/Run00118341/    
118342     1        1        28897.53           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0616/Run00118342/    
118343     1        1        28884.64           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0616/Run00118343/    
118344     1        1        28903.33           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0617/Run00118344/    
118345     1        1        28883.86           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0617/Run00118345/    
118346     1        1        28889.96           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0617/Run00118346/    
118347     1        1        28882.83           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0618/Run00118347/    
118348     1        1        20596.86           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0618/Run00118348/    
118349     1        1        28886.71           86          5383         5040          /data/exp/IceCube/2011/filtered/level2pass2a/0618/Run00118349/    
